0.0000000000000000 1:0.3076923076923077 2:0.4285714285714286 3:0.5000000000000000 4:0.4285714285714286 5:0.4285714285714286 6:-0.2142857142857143 7:0.8800000000000000 8:1.0679611650485437 9:2.9411764705882355 10:0.2038216560509554 11:0.8196721311475410 12:0.2121212121212121 13:0.3095238095238095 14:0.3148148148148148 15:0.5416666666666666 16:0.2727272727272727 17:0.0856206782015279 18:0.1136277074915546 19:0.3958596871554561 20:0.2806204755394129 21:0.3933681017558294 22:0.3742627510602032 23:0.3771859665740024 24:0.0627325729916076 25:0.0068101706848509 26:0.0000000000000000 27:52.0000000000000000 28:0.5670799238320061 29:3.4072633098201894 30:4.2363719317269590
0.0000000000000000 1:0.3008130081300813 2:0.4615384615384616 3:0.4615384615384616 4:0.4615384615384616 5:0.4615384615384616 6:-0.0740740740740741 7:1.0000000000000000 8:1.0602409638554218 9:5.7777777777777780 10:0.2533333333333334 11:1.5121951219512195 12:0.4015151515151515 13:0.3886639676113360 14:0.3302752293577982 15:0.5277777777777778 16:0.3106060606060606 17:0.0830794979079498 18:0.0625785038721645 19:0.4452463326772323 20:0.7097679910043587 21:0.4707716158473110 22:0.4492485729005932 23:0.4423258684646914 24:0.1050231439819874 25:0.0374559387666802 26:0.0065114692013868 27:52.0000000000000000 28:0.4067291804070414 29:5.2982797146956315 30:6.2756015147280890
0.0000000000000000 1:0.3008130081300813 2:0.4615384615384616 3:0.4615384615384616 4:0.4615384615384616 5:0.4615384615384616 6:-0.0740740740740741 7:1.0000000000000000 8:1.0602409638554218 9:5.7777777777777780 10:0.2533333333333334 11:1.5121951219512195 12:0.4015151515151515 13:0.3886639676113360 14:0.3302752293577982 15:0.5277777777777778 16:0.3106060606060606 17:0.0743389830508474 18:0.0541713183801888 19:0.4452463326772323 20:0.7097679910043587 21:0.4707716158473110 22:0.4492485729005932 23:0.4423258684646914 24:0.1050231439819874 25:0.0374559387666802 26:0.0065114692013868 27:51.0000000000000000 28:0.3966572837879439 29:5.2982797146956315 30:6.2756015147280890
0.0000000000000000 1:0.3319838056680162 2:0.5000000000000000 3:0.5714285714285714 4:0.5000000000000000 5:0.5000000000000000 6:-0.1414141414141414 7:-5.5000000000000000 8:1.1089108910891090 9:1.6363636363636365 10:0.2261904761904762 11:1.2222222222222223 12:0.2575757575757576 13:0.4000000000000000 14:0.3700440528634361 15:0.4305555555555556 16:0.3712121212121212 17:0.1048787170834415 18:0.1480338952219258 19:0.3826681571657137 20:0.3397800682386901 21:0.3472133986108423 22:0.3550857127424913 23:0.3740950279636044 24:0.1282111137148111 25:0.0567514223737578 26:0.0065114692013868 27:52.0000000000000000 28:0.5040672684756410 29:3.1964615570047306 30:4.1450267020873355
0.0000000000000000 1:0.3083333333333334 2:0.4615384615384616 3:0.4615384615384616 4:0.4615384615384616 5:0.4615384615384616 6:-0.0923076923076923 7:0.4375000000000000 8:1.1401869158878504 9:2.5714285714285716 10:0.2857142857142857 11:1.1612903225806452 12:0.4166666666666667 13:0.3266932270916334 14:0.3027522935779817 15:0.5694444444444444 16:0.2954545454545455 17:-0.0032866836301951 18:0.0590909090909091 19:0.3370937505520984 20:0.3067144626660533 21:0.2995557999572989 22:0.3261432509227725 23:0.3182619748320838 24:0.1200511834751826 25:0.0091901266842620 26:0.0000000000000000 27:52.0000000000000000 28:0.4250528720898272 29:4.0781379682059290 30:5.0605338091705105
0.0000000000000000 1:0.3319838056680162 2:0.5000000000000000 3:0.5714285714285714 4:0.5000000000000000 5:0.5000000000000000 6:-0.1414141414141414 7:-5.5000000000000000 8:1.1089108910891090 9:1.6363636363636365 10:0.2261904761904762 11:1.2222222222222223 12:0.2575757575757576 13:0.4000000000000000 14:0.3700440528634361 15:0.4305555555555556 16:0.3712121212121212 17:0.1048787170834415 18:0.1480338952219258 19:0.3826681571657137 20:0.3397800682386901 21:0.3472133986108423 22:0.3550857127424913 23:0.3740950279636044 24:0.1282111137148111 25:0.0567514223737578 26:0.0065114692013868 27:52.0000000000000000 28:0.5040672684756410 29:3.1964615570047306 30:4.1450267020873355
0.0000000000000000 1:0.3083333333333334 2:0.4615384615384616 3:0.4615384615384616 4:0.4615384615384616 5:0.4615384615384616 6:-0.0923076923076923 7:0.4375000000000000 8:1.1401869158878504 9:2.5714285714285716 10:0.2857142857142857 11:1.1612903225806452 12:0.4166666666666667 13:0.3266932270916334 14:0.3027522935779817 15:0.5694444444444444 16:0.2954545454545455 17:0.0007309941520468 18:0.0515151515151515 19:0.3370937505520984 20:0.3067144626660533 21:0.2995557999572989 22:0.3261432509227725 23:0.3182619748320838 24:0.1200511834751826 25:0.0091901266842620 26:0.0000000000000000 27:51.0000000000000000 28:0.4297643308797343 29:4.0781379682059290 30:5.0605338091705105
0.0000000000000000 1:0.3008130081300813 2:0.4615384615384616 3:0.4615384615384616 4:0.4615384615384616 5:0.4615384615384616 6:-0.0740740740740741 7:1.0000000000000000 8:1.0602409638554218 9:3.1304347826086960 10:0.2533333333333334 11:1.5909090909090908 12:0.4015151515151515 13:0.3886639676113360 14:0.3302752293577982 15:0.5277777777777778 16:0.3106060606060606 17:0.0895271373522304 18:0.0849016393442623 19:0.4452463326772323 20:0.7097679910043587 21:0.4707716158473110 22:0.4492485729005932 23:0.4423258684646914 24:0.1050231439819874 25:0.0374559387666802 26:0.0065114692013868 27:52.0000000000000000 28:0.4098090712901308 29:5.2182915835833820 30:6.1651462558936770
0.0000000000000000 1:0.3008130081300813 2:0.4615384615384616 3:0.4615384615384616 4:0.4615384615384616 5:0.4615384615384616 6:-0.0740740740740741 7:1.0000000000000000 8:1.0602409638554218 9:5.7777777777777780 10:0.2533333333333334 11:1.5121951219512195 12:0.4015151515151515 13:0.3886639676113360 14:0.3302752293577982 15:0.5277777777777778 16:0.3106060606060606 17:0.0830794979079498 18:0.0625785038721645 19:0.4452463326772323 20:0.7097679910043587 21:0.4707716158473110 22:0.4492485729005932 23:0.4423258684646914 24:0.1050231439819874 25:0.0374559387666802 26:0.0065114692013868 27:53.0000000000000000 28:0.4036101128086481 29:5.2982797146956315 30:6.2756015147280890
0.0000000000000000 1:0.3088235294117647 2:0.4375000000000000 3:0.4375000000000000 4:0.4375000000000000 5:0.4375000000000000 6:-0.1904761904761905 7:0.3333333333333333 8:1.1007751937984496 9:2.0000000000000000 10:0.2159090909090909 11:1.5652173913043480 12:0.3973063973063973 13:0.3546099290780142 14:0.2960000000000000 15:0.4814814814814814 16:0.3164983164983165 17:0.0294359255202629 18:0.0507895559724828 19:0.3362446997456424 20:0.3883519569740994 21:0.3242262871250027 22:0.3216437004959615 23:0.3306121993780585 24:0.1188077390947822 25:0.0323408203029694 26:0.0055529995930526 27:42.0000000000000000 28:0.5442506446074165 29:4.3642013866935345 30:4.8818789896232040
0.0000000000000000 1:0.3008130081300813 2:0.4615384615384616 3:0.4615384615384616 4:0.4615384615384616 5:0.4615384615384616 6:-0.0740740740740741 7:1.0000000000000000 8:1.0602409638554218 9:7.4285714285714290 10:0.2533333333333334 11:1.6000000000000000 12:0.4015151515151515 13:0.3886639676113360 14:0.3302752293577982 15:0.5277777777777778 16:0.3106060606060606 17:0.0848646512546927 18:0.0688344768086767 19:0.4452463326772323 20:0.7097679910043587 21:0.4707716158473110 22:0.4492485729005932 23:0.4423258684646914 24:0.1050231439819874 25:0.0374559387666802 26:0.0065114692013868 27:48.0000000000000000 28:0.4173678938118733 29:5.2646950511464260 30:6.2599282245979030
